,10,1,7,9
0,9.0,3.0,2.0,
1,11.0,71.0,1.0,4.0
2,19.0,1.0,,
3,2.0,,,
4,9.0,58.0,,6.0
5,,2.0,7.0,2.0
6,26.0,,,
7,3.0,1.0,,
8,41.0,27.0,,
9,517.0,4.0,6.0,22.0
10,4.0,4.0,,1.0
11,17.0,30.0,,8.0
12,3.0,2.0,,
13,5.0,4.0,,2.0
14,75.0,1.0,,
15,3.0,,,
16,35.0,,,1.0
17,51.0,16.0,1.0,1.0
18,155.0,21.0,,4.0
19,67.0,1.0,,2.0
20,97.0,2.0,1.0,
21,3.0,,,
22,5.0,4.0,1.0,
23,40.0,23.0,1.0,2.0
24,109.0,4.0,,
25,4.0,17100.0,,807.0
26,2.0,,,1.0
27,13.0,,,
28,6.0,,,1.0
29,82.0,7.0,,3.0
30,4.0,1.0,1.0,1.0
31,24.0,123.0,,21.0
32,50.0,1.0,12.0,9.0
33,4.0,1.0,2.0,1.0
34,66.0,19.0,1.0,
35,49.0,1.0,4.0,2.0
36,7.0,12.0,,1.0
37,19.0,310.0,1.0,8.0
38,4587.0,15.0,4.0,3.0
39,24.0,3.0,,
total,6247.0,17872.0,45.0,913.0
mean,160.17948717948718,558.5,3.0,38.041666666666664
std,732.502339561375,3019.035703771183,3.1847852585154217,163.8882119448887
